main-captions	MSRvid	2012test	0017	4.200	the man hit the other man with a stick .	the man spanked the other man with a stick .
main-captions	MSRvid	2012test	0018	4.600	a woman picks up and holds a baby kangaroo .	a woman picks up and holds a baby kangaroo in her arms .
main-captions	MSRvid	2012test	0019	3.867	a man is playing a flute .	a man is playing a bamboo flute .
main-captions	MSRvid	2012test	0020	4.667	a person is folding a piece of paper .	someone is folding a piece of paper .
main-captions	MSRvid	2012test	0021	1.667	a man is running on the road .	a panda dog is running on the road .
main-captions	MSRvid	2012test	0022	3.750	a dog is trying to get bacon off his back .	a dog is trying to eat the bacon on its back .
main-captions	MSRvid	2012test	0025	5.000	the polar bear is sliding on the snow .	a polar bear is sliding across the snow .
main-captions	MSRvid	2012test	0026	0.500	a woman is writing .	a woman is swimming .
main-captions	MSRvid	2012test	0028	3.800	a cat is rubbing against baby 's face .	a cat is rubbing against a baby .
main-captions	MSRvid	2012test	0029	5.000	the man is riding a horse .	a man is riding on a horse .
